"Animal #","Row","Column","Arc Length","Poly2_RSS","Poly3_RSS","Poly23_RSS","Poly234_RSS","Poly2345_RSS","Frac_beta_whisker","Frac_coef","Frac_RSS","Elliptical_RSS","Cesaro_A","Cesaro_B","Cesaro_RSS",,
3,1,1,57.72,1604.1,449.59,93.555,28.59,32.107,4.8283,3.88E-05,26.766,802.77,0.00062886,-0.0028428,15.351,,
3,1,2,36.375,14.618,5.6557,6.1713,2.0706,0.79175,2.475,2.93E-05,4.2607,7.0629,0.00043206,0.00010683,7.5344,,
3,1,3,27.839,110.35,16.554,1.3837,0.70219,0.35235,3.9164,0.0002086,0.67104,23.982,0.0019996,-0.00092576,4.1803,,
3,1,4,15.09,4.7521,0.1693,0.18365,0.099328,0.013774,3.0098,0.0010666,0.16783,1.1876,0.0034426,0.016521,0.26213,,
3,2,1,69.582,158.49,77.885,86.588,78.548,62.298,2.7021,7.84E-06,73.421,102.24,0.00018219,-0.0010519,127.42,,
3,2,3,49.019,27.782,1.38E+05,16.959,4.4426,30.49,1.461,8.54E-06,21.657,34.865,9.31E-06,0.0018827,34.551,,
3,2,5,17.291,8.0484,0.1409,0.10432,0.12381,0.0054218,2.9555,0.00083537,0.12206,0.43528,0.0025705,0.015421,1.0895,,
3,2,6,8.7469,5.0034,1.1505,0.41282,0.12672,0.14246,4.2293,0.0087283,0.13457,1.221,0.021975,0.023296,0.38134,,
3,3,1,67.325,169.3,258.17,153.65,15.281,12.965,2.2401,1.02E-05,142.1,159.05,3.54E-05,0.0026637,184.55,,
3,3,2,70.688,642.55,94.343,24.389,42.155,43.147,3.4675,1.03E-05,26.835,277.65,0.00022488,-0.001202,52.083,,
3,3,3,61.956,1589.5,679.59,5.8599,13.791,71.958,4.8644,1.38E-05,104.21,702.65,0.00051871,-0.0051203,49.032,,
3,3,4,21.513,2.481,1.4032,0.19385,0.099826,0.018012,2.3946,0.00021623,0.037754,0.11936,0.00097267,0.0077067,0.40751,,
3,3,5,25.927,66.561,17.222,0.31233,0.30887,0.12398,4.4499,0.0001211,2.1499,24.6,0.002269,-0.0072683,2.3117,,
3,4,1,58.497,1058.2,207.51,32.071,1.7108,1.5702,4.3412,2.86E-05,3.2132,311.39,0.00047883,-0.0015439,16.167,,
3,4,2,54.869,1136.9,291.23,47.907,2.0106,1.8017,5.0991,3.86E-05,2.8185,388.28,0.00064939,-0.0030735,44.214,,
3,4,3,45.466,280.82,27.145,4.0862,3.9265,0.35057,3.579,4.23E-05,3.6277,138.28,0.00058339,-0.00029863,14.861,,
3,4,4,35.435,168.69,17.666,1.6136,1.4929,0.88485,3.645,9.90E-05,1.4869,39.399,0.0011505,-0.0013041,6.662,,
3,4,5,20.749,51.386,6.7317,2.9925,1.0681,0.41794,3.9206,0.00088999,1.0902,8.8224,0.0033299,0.0090047,2.9308,,
3,4,6,10.907,6.397,0.90951,0.567,0.087655,0.0070421,3.4764,0.005218,0.17043,0.55482,0.0072798,0.042954,0.58371,,
3,5,1,18.19,13.739,0.43972,0.078244,0.086402,0.014266,3.2129,0.00058376,0.083647,2.6997,0.0032068,0.0067777,0.85685,,
3,5,2,22.509,21.429,0.62417,0.64491,0.20211,0.052151,2.8986,0.00035398,0.40082,5.4426,0.0015215,0.0093659,2.9613,,
3,5,3,16.26,6.7429,0.025578,0.015443,0.021685,0.0055837,3.0231,0.00072075,0.022139,1.4526,0.0032866,0.010456,0.49801,,
4,1,1,64.797,501.59,133.08,58.673,52.41,114.49,3.8204,8.55E-06,72.747,329.68,0.00023051,-0.0014189,85.45,,
4,1,2,53.3,496.95,133.15,0.98173,11.173,48.562,4.5328,1.71E-05,2.3864,155.88,0.00047466,-0.0030374,4.1148,,
4,1,3,35.404,123.25,26.599,0.35808,0.29169,0.19987,4.1943,4.82E-05,1.8085,39.413,0.0010135,-0.0039477,1.6539,,
4,2,1,73.006,856.7,30.908,8.9664,29.38,65.541,3.4542,1.70E-05,8.7677,150.55,0.00024098,5.10E-05,107.17,,
4,2,2,66.041,614.69,94.52,9.5967,9.457,99.935,3.7271,1.01E-05,16.373,277.3,0.00024278,-0.0011993,22.897,,
4,2,3,51.393,267.22,40.071,5.3319,1.4309,0.67297,4.1937,1.86E-05,1.5432,61.005,0.00042795,-0.0023012,3.2141,,
4,2,5,28.268,1.003,1.6519,0.26855,0.051869,0.038516,2.3284,6.46E-05,0.018347,0.053262,0.00042817,0.0033023,0.43966,,
4,2,6,20.224,5.6058,0.12674,0.067376,0.038641,0.019972,3.0322,0.00014886,0.057445,1.5063,0.0015586,0.00012321,0.13368,,
4,3,1,60.843,514.65,2.51E+05,3.0521,3.7424,76.019,3.5082,1.51E-05,9.8806,317.75,0.00028986,-0.00072505,19.847,,
4,3,2,69.307,927.62,114.38,15.174,17.482,110.33,3.6116,1.25E-05,31.013,699.43,0.00024011,-0.00057484,68.449,,
4,4,1,52.181,4.0388,1.69E+05,4.287,6.0254,19.08,2.0474,4.25E-06,3.9211,5.1621,-1.36E-06,0.0019926,4.3038,,
4,4,2,56.278,76.324,4.7324,6.0967,0.78001,65.269,2.7701,1.40E-05,2.5388,15.876,0.00026881,-0.00072037,17.36,,
4,4,3,54.097,268.04,20.978,7.3585,2.966,55.275,3.3199,1.89E-05,10.975,173.66,0.00031051,-0.00018889,19.8,,
4,4,4,40.927,143.94,15.521,0.66831,0.40362,6.2214,3.5986,3.77E-05,2.121,71.747,0.00062859,-0.001228,4.0114,,
4,4,5,25.391,17.355,0.5857,0.5906,0.093118,0.081335,3.0381,0.00011134,0.56918,5.2847,0.0011497,0.00086277,1.2429,,
4,5,1,15.609,5.084,0.54159,0.32674,0.073934,0.02055,3.25,0.00034384,0.40617,2.1819,0.0033216,-0.00091565,0.56421,,
4,5,2,19.927,0.6505,0.69204,0.22723,0.1609,0.14758,2.6578,0.00015868,0.23742,0.1443,0.00086866,0.0049354,0.19926,,
4,5,3,14.422,0.068768,0.6685,0.082318,0.02564,0.00837,2.0886,0.00029375,0.04802,0.079291,0.00071385,0.0081574,0.15801,,
4,1,2,63.928,541.43,78.181,9.8868,1.4013,42.384,4.1785,1.21E-05,3.7358,125.1,0.00032341,-0.0029388,4.6789,,
4,1,3,51.292,417.19,107.74,28.925,2.358,18.065,4.8134,2.07E-05,4.6814,121.7,0.00055057,-0.0039461,9.2663,,
4,1,4,37.379,75.134,2.6855,0.21762,0.19825,0.19803,3.2608,4.41E-05,0.31862,24.825,0.00063917,-0.00037654,1.3574,,
4,2,1,66.67,722.87,54.809,12.136,10.37,98.99,3.4036,1.51E-05,21.058,583.28,0.00023883,0.00011112,56.693,,
4,2,2,73.263,1409.3,161.11,25.677,26.185,2.5616,3.6125,1.47E-05,37.852,842.53,0.00023985,-0.00024971,145.74,,
4,2,3,66.272,417.2,10.322,1.7062,1.3762,0.93476,3.382,1.49E-05,1.2956,57.769,0.00024917,-0.00012181,18.005,,
4,2,4,49.58,338.12,79.849,4.1614,0.74737,12.053,4.5641,2.07E-05,0.65333,80.391,0.00050344,-0.0025915,4.4891,,
4,2,5,30.411,53.956,19.253,0.90148,0.74224,0.10169,4.3404,3.99E-05,4.7719,26.576,0.0012089,-0.0063279,1.6778,,
4,3,1,63.033,387.4,2.55E+05,29.016,11.263,63.437,3.1739,1.29E-05,33.257,217.92,0.00020889,0.00029889,56.591,,
4,3,2,59.891,585.18,136.02,5.3532,3.7855,4.4819,4.1576,1.33E-05,4.264,187.26,0.00033958,-0.0019668,7.9692,,
4,3,3,49.163,355.78,58.264,0.83712,2.554,10.67,3.9655,2.78E-05,0.99017,91.766,0.00052227,-0.0018566,2.9025,,
4,3,4,39.313,145.16,23.28,1.4456,1.0589,0.20393,3.8032,3.91E-05,4.2575,64.206,0.00072587,-0.0021401,5.6992,,
4,3,5,23.691,28.215,4.7701,0.10695,0.058192,0.046186,3.8115,0.00012776,0.57455,9.0612,0.0019949,-0.0041389,0.66502,,
4,3,6,10.632,0.12437,0.80279,0.045989,0.0085132,0.004045,2.1465,0.0018057,0.0036288,0.016836,0.0024537,0.026381,0.12682,,
4,4,1,54.672,47.902,6.5277,6.0159,0.66404,0.43383,3.1642,5.95E-06,5.8583,22.506,0.00014279,-0.00066761,6.8236,,
4,4,2,54.114,177.34,10.271,10.31,7.1933,57.304,3.0234,1.66E-05,10.207,147.81,0.0002448,0.00074082,19.631,,
4,4,3,52.659,457.42,86.963,4.2851,4.6506,2.1704,4.0841,2.15E-05,8.1567,164.39,0.00047919,-0.0024039,16.162,,
4,4,4,38.921,61.463,2.1037,1.9314,1.792,0.45919,3.1206,3.91E-05,1.9871,17.404,0.00055689,-0.00024527,4.1364,,
4,5,1,9.2678,0.17019,0.093422,0.00089972,0.0033926,0.0017947,2.4901,0.001492,0.0012491,0.0060045,0.0054889,0.013039,0.022327,,
4,5,2,21.719,1.2975,3.1573,0.14661,0.034976,0.01842,1.161,2.84E-05,0.56826,1.6516,-0.00064881,0.0062413,0.25399,,
4,5,4,21.389,2.9599,0.1841,0.18865,0.07879,0.023599,3.0798,6.93E-05,0.17198,1.0495,0.0010689,-0.0020267,0.30988,,
5,1,1,62.143,725.7,93.7,3.7693,3.1823,12.8,3.8034,1.68E-05,0.42003,224.47,0.00031987,-0.00090911,7.5006,,
5,1,2,59.917,1910.8,702.38,174.99,41.46,21.296,5.8452,2.84E-05,33.232,655.18,0.00060198,-0.0037336,10.977,,
5,1,3,50.372,43.524,6.3268,4.9631,0.76552,0.19117,2.517,1.81E-05,2.6402,14.439,0.00022712,0.00083334,9.8399,,
5,1,4,31.501,107.99,21.093,0.5827,0.57346,0.10825,4.1006,8.05E-05,1.9632,33.707,0.0013888,-0.0041213,3.6278,,
5,1,5,12.507,0.084674,0.10414,0.019957,0.0052986,0.0033343,2.2549,0.00032025,0.010912,0.025627,0.0013994,0.0052712,0.071758,,
5,2,1,65.635,71.143,646.18,71.636,37.465,36.535,1.9986,1.23E-05,71.078,141.99,0.00010756,0.0018659,178.93,,
5,2,2,75.261,99.138,166.45,92.335,26.363,8.3412,2.152,9.01E-06,89.777,145.51,0.00010232,0.0012569,218.88,,
5,2,3,65.675,722.21,30.613,2.527,1.0589,1.0556,3.5285,1.79E-05,1.0647,123.17,0.00027181,7.18E-05,14.614,,
5,2,5,19.432,9.8882,5.7481,0.085547,0.029858,0.023172,8.1132,6.04E-05,1.3414,6.3085,0.0025249,-0.010675,0.16212,,
5,2,6,15.95,12.18,2.9084,0.092351,0.0097367,0.0040931,4.275,0.00038397,0.053236,3.3964,0.0052886,-0.0085125,0.081093,,
5,3,2,26.482,0.39709,23762,0.19463,0.039599,0.01278,2.7939,9.47E-06,0.18016,0.30236,0.00012264,-1.72E-05,0.31665,,
5,3,3,48.882,70.349,2.7398,2.8952,1.4168,0.5698,2.8315,1.94E-05,2.2862,13.562,0.00029537,0.00050243,6.883,,
5,3,4,30.684,7.549,14.852,7.1475,0.14463,1.0574,1.9506,3.24E-05,7.4425,8.8761,-0.00014204,0.0060131,7.3384,,
5,3,5,18.26,11.258,2.4192,0.033778,0.033225,0.024525,4.0483,0.00018621,0.18811,3.8622,0.0030546,-0.0061018,0.093829,,
5,4,1,60.318,145.38,40.736,34.813,1.4557,1.4162,2.6554,1.36E-05,25.312,79.27,0.00016311,0.0010461,54.977,,
5,4,2,52.773,469.99,44.68,8.9246,1.6524,10.609,4.0221,4.28E-05,1.5706,97.71,0.00051716,-0.001714,4.168,,
5,4,3,45.528,329.01,39.533,0.54447,0.46805,0.24797,3.734,4.27E-05,1.8046,91.957,0.00063475,-0.0010872,12.477,,
5,4,5,12.052,0.36515,0.063267,0.045625,0.010065,0.002034,2.5609,0.00042322,0.02443,0.1107,0.002695,0.003089,0.091837,,
5,5,1,20.799,6.5109,0.24136,0.01761,0.017511,0.014583,3.2758,0.00011481,0.025442,1.685,0.00152,-0.001574,0.048159,,
5,5,3,21.54,0.17385,0.36164,0.085958,0.0056559,0.0054789,2.2258,7.33E-05,0.017303,0.037309,0.00044568,0.0027273,0.14903,,
5,5,4,15.91,0.13568,0.050006,0.054499,0.011897,0.0082481,2.9019,4.19E-05,0.049162,0.091963,0.00043024,-9.39E-05,0.12657,,
5,1,1,67.884,729.46,41.317,7.6139,6.1635,4.7174,3.5239,1.42E-05,6.0431,113.36,0.00025414,-0.00055469,11.205,,
5,1,2,68.378,344.73,3.53E+05,120.86,29.081,123.09,2.6618,1.05E-05,108.33,232.47,0.00011257,0.0021189,175.68,,
5,1,3,50.96,686.36,139.51,5.6388,0.57323,7.1891,4.2674,3.66E-05,0.6248,156.75,0.00061405,-0.0018036,15.702,,
5,1,4,30.643,79.957,8.1908,0.1493,0.11198,0.20683,3.593,0.00010116,0.74979,24.184,0.0013052,-0.0016378,3.1156,,
5,1,5,14.06,5.1824,0.092792,0.040217,0.0029687,0.0021118,3.3124,0.00079454,0.0058214,1.1822,0.0052242,0.0033872,0.088776,,
5,2,2,66.541,1149.6,145.56,7.1584,9.1417,91.074,3.7395,1.85E-05,20.921,577.1,0.0002983,-0.00030866,79.883,,
5,2,3,16.187,0.42267,3.3836,0.080281,0.042753,0.031443,1.4341,0.00018871,0.12127,0.66135,-0.0011704,0.01427,0.13349,,
5,2,4,33.062,46.863,1.5933,2.1029,0.79056,0.11691,3.0435,6.30E-05,1.5365,16.03,0.00089469,-0.0013522,5.1129,,
5,2,5,9.9148,0.0551,0.13791,0.0034651,0.0012327,0.00065639,2.2312,0.00093557,0.00039764,0.0065683,0.0028761,0.011095,0.034478,,
5,3,1,65.154,496.45,75.507,73.448,10.405,3.961,3.0054,1.51E-05,75.496,351.08,0.00020916,0.00058062,150.13,,
5,3,2,60.528,192.64,58.893,41.215,4.0563,63.307,2.6155,1.77E-05,33.404,122.14,0.00012724,0.0032959,69.841,,
5,3,3,60.805,197.97,20.092,17.606,4.7211,0.49386,2.733,1.65E-05,12.864,134.89,0.00018621,0.0013025,39.961,,
5,3,4,39.101,1.3531,8.6207,1.5244,1.3071,0.59504,2.2204,3.13E-05,0.97181,1.0156,0.00018329,0.0032874,1.6738,,
5,3,5,35.974,19.936,4.4798,6.0187,1.0699,0.44444,2.5525,4.28E-05,2.9833,10.228,0.00060679,-0.0002787,9.1437,,
5,3,6,21.075,3.8986,0.17228,0.16113,0.065201,0.024164,2.7541,0.00011737,0.12455,1.3116,0.0013004,6.38E-05,0.36268,,
5,4,1,53.822,63.097,38.161,25.402,1.371,4.6968,2.4941,1.52E-05,19.576,37.892,0.0001129,0.0024696,29.222,,
5,4,2,58.381,1294.8,337.09,12.74,1.1228,0.73222,4.8214,2.63E-05,12.192,421.33,0.00053817,-0.0028822,43.873,,
5,4,3,27.575,11.438,2.6436,0.73568,0.59076,0.15282,4.1276,3.40E-05,0.62771,4.3883,0.00077811,-0.0030203,0.78057,,
5,4,4,14.012,0.25927,0.0078956,0.0048038,0.0021581,0.00062945,2.7251,0.00015696,0.0039329,0.052805,0.0012995,0.0007896,0.048688,,
5,4,5,21.741,8.3026,0.67751,0.5991,0.031417,0.028326,2.8005,0.0001711,0.45483,2.9695,0.0013987,0.0024305,1.1992,,
5,5,1,22.186,9.4507,4.9328,0.14613,0.049573,0.018547,7.0596,3.88E-05,0.84198,5.4627,0.0015103,-0.006893,0.23747,,
5,5,3,17.194,0.18332,2.3123,0.097132,0.030296,0.0065302,1.7681,0.00015,0.11769,0.27616,-0.00029533,0.0090428,0.21781,,
6,1,2,58.23,533.95,19.041,14.644,12.706,2.9232,3.151,3.28E-05,14.774,291.35,0.00035136,0.001069,103.34,,
6,1,3,17.942,2.1729,0.6989,0.26002,0.044937,0.03207,3.9146,7.08E-05,0.3917,1.2231,0.0014996,-0.0041426,0.32778,,
6,2,1,45.285,5.2441,10.278,4.3987,0.23585,0.23222,2.3078,2.98E-05,0.58087,2.4985,0.00023084,0.0028547,7.8005,,
6,2,2,51.547,179.95,2.0746,0.12382,0.12163,0.078237,3.1122,2.11E-05,0.12395,146.15,0.00030431,0.00055936,2.7268,,
6,2,3,22.341,1.1895,1.2372,0.45686,0.013404,0.012808,2.3842,8.41E-05,0.2744,0.62321,0.00046876,0.0031962,0.56441,,
6,2,4,27.26,41.733,7.7579,1.1627,0.27436,0.10954,3.7681,8.37E-05,2.237,16.042,0.0015211,-0.0046977,2.8072,,
6,2,5,11.93,1.8842,0.1177,0.019329,0.019192,0.0029908,2.9101,0.0014848,0.018173,0.055251,0.0058576,0.013128,0.095686,,
6,3,1,62.377,988.07,112.03,2.8474,2.9643,1.4272,3.6884,2.52E-05,9.6229,489.41,0.00033807,0.00028769,72.591,,
6,3,2,64.86,935.06,95.717,23.006,21.428,5.7291,3.52,2.08E-05,32.642,613.07,0.00029839,-9.49E-07,122.28,,
6,3,4,31.849,1.9857,8.3391,1.7189,0.19606,0.27875,2.1671,3.50E-05,1.4097,1.7989,5.91E-05,0.0040427,1.8028,,
6,3,6,18.289,0.62345,3.1031,0.64971,0.11214,0.015051,2.1238,0.00018654,0.52238,0.61829,0.00018193,0.0089959,0.72964,,
6,4,1,54.137,588.01,66.817,1.4249,1.2935,0.84325,3.7027,3.09E-05,5.5005,179.46,0.00046202,-0.00072034,35.023,,
6,4,2,32.483,0.43638,0.43567,0.13133,0.10732,0.071774,4.3098,8.43E-08,0.42765,0.43656,8.22E-05,-0.00087157,0.17374,,
6,4,3,20.683,0.90227,3.1191,0.89108,0.056917,0.016092,2.1919,0.00013254,0.62256,0.78149,0.00031803,0.0065552,1.014,,
6,1,2,47.429,199.34,15.166,14.11,10.514,3.7317,2.8411,5.88E-05,12.876,545.85,0.00035681,0.0043355,56.134,,
